"species","choice"
"robot","flower"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","flower"
"human","data"
"robot","data"
"human","puppy"
"robot","flower"
"robot","puppy"
"human","flower"
"human","data"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","data"
"human","data"
"human","data"
"human","puppy"
"robot","flower"
"human","data"
"robot","flower"
"robot","flower"
"human","puppy"
"robot","data"
"robot","data"
"robot","data"
"robot","data"
"human","data"
"human","puppy"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"human","data"
"robot","data"
"robot","flower"
"robot","puppy"
"robot","puppy"
"robot","flower"
"human","flower"
"human","data"
"human","data"
"robot","flower"
"robot","flower"
"robot","puppy"
"robot","data"
"human","data"
"human","flower"
"robot","data"
"robot","puppy"
"robot","data"
"robot","data"
"human","data"
"robot","flower"
"robot","data"
"robot","data"
"human","data"
"human","flower"
"robot","flower"
"human","data"
"human","data"
"human","data"
"robot","data"
"robot","flower"
"robot","data"
"human","data"
"human","flower"
"robot","flower"
"human","data"
"robot","puppy"
"robot","flower"
"robot","puppy"
"robot","data"
"robot","data"
"robot","data"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","flower"
"robot","data"
"robot","data"
"human","puppy"
"human","puppy"
"robot","data"
"human","data"
"robot","data"
"human","data"
"human","flower"
"human","flower"
"robot","data"
"robot","flower"
"human","data"
"human","data"
"robot","data"
"human","data"
"robot","data"
"robot","flower"
"robot","data"
"robot","data"
"human","data"
"robot","puppy"
"human","puppy"
"robot","data"
"human","puppy"
"robot","flower"
"robot","flower"
"human","data"
"human","puppy"
"robot","data"
"robot","data"
"human","data"
"human","data"
"robot","data"
"human","data"
"human","data"
"robot","puppy"
"robot","flower"
"human","data"
"robot","flower"
"robot","puppy"
"human","puppy"
"robot","data"
"human","flower"
"robot","puppy"
"robot","flower"
"human","data"
"human","data"
"human","data"
"human","data"
"human","puppy"
"human","puppy"
"human","data"
"human","puppy"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"human","flower"
"human","data"
"robot","data"
"robot","data"
"robot","data"
"human","flower"
"human","data"
"human","puppy"
"human","data"
"human","data"
"human","data"
"robot","flower"
"robot","data"
"human","data"
"robot","flower"
"human","puppy"
"human","flower"
"robot","flower"
"robot","flower"
"robot","flower"
"human","data"
"human","data"
"robot","flower"
"robot","data"
"robot","puppy"
"human","data"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"human","data"
"robot","data"
"robot","data"
"human","data"
"robot","puppy"
"human","data"
